tagID,birdID,ringnumber,colourcode,sex,start_deployment,date_death,end_deployment,bodymass,headbill,head,P8,tarsus,tracker_mass,ageclass
562,562,8041601,O[DN]/aO[DN],M,04/05/2012,31/12/2099,31/12/2099,1950,,,,,46.6,adult
761,761,8047910,OW[98]/aB[98],M,09/05/2012,31/12/2099,31/12/2099,1830,,,,,43.9,adult
764,764,NA,RB[Z1]/O[Z1],M,09/05/2012,31/12/2099,31/12/2099,1930,,,,,43.2,adult
758,758,8048363,W[AC]/B[AC]a,M,05/06/2012,31/12/2099,31/12/2099,1730,,,,,43.1,adult
736,736,8048013,W[KZ]a/B[KZ],M,07/06/2012,31/12/2099,31/12/2099,1830,,,,,44.2,adult
760,760,8049642,YLY/YfGa,F,23/05/2012,31/12/2099,31/12/2099,1680,230,46,,,42.3,adult
763,763,8046408,aB[TU]/O[TU],M,25/05/2012,31/12/2099,31/12/2099,1950,256,52,,,43.4,adult
584,584,8056482,YfYL/YaB,M,30/04/2013,31/12/2099,31/12/2099,2030,276,51,,,46.3,adult
647,647,8056486,LYYf/YaR,M,03/05/2013,31/12/2099,31/12/2099,2140,270,52,,,47,adult
651,651,8056489,YfLY/aLY,F,09/05/2013,31/12/2099,31/12/2099,1740,217,54,,,47.9,adult
653,653,8048738,aYfG/OGB,M,04/05/2013,31/12/2099,31/12/2099,1888,,,,,48,adult
656,656,8056477,LaG/RBYf,M,30/04/2013,31/12/2099,31/12/2099,,254,50,,,46.4,adult
6066,6066,8042511,aG[AB]/G[AB],M,05/05/2014,31/12/2099,31/12/2099,2185,262,47,,,19.9,adult
6067,6067,8048343,aW[V4]/B[V4],M,13/05/2014,31/12/2099,31/12/2099,1680,262,50,,,19.3,adult
6068,6068,8049873,LBYf/aLB,F,05/05/2014,31/12/2099,31/12/2099,1835,227,54,,,19,adult
6117,6117,8049871,YfBL/BLa,M,29/04/2014,31/12/2099,31/12/2099,1985,272,54,,,18.6,adult
6118,6118,8049874,GaG/YfGY,M,30/04/2014,31/12/2099,31/12/2099,,265,53,,,18.5,adult
1606,1606,8060291,NfRN/aGR,M,15/05/2015,31/12/2099,31/12/2099,2160,,,249,154,24.9,adult
1608,1608,8047031,L[C9]a/B[C9],M,15/05/2015,31/12/2099,31/12/2099,1900,,,258,151,24.8,adult
1609,656,8056477,LaG/RBYf,M,15/05/2015,31/12/2099,31/12/2099,,,,,,24.4,adult
6282,656,8056477,LaG/RBYf,M,27/04/2016,31/12/2099,31/12/2099,1880,260,53,267,143,22,adult
6283,6283,8060470,NfYY/aRG,F,28/04/2016,31/12/2099,31/12/2099,1815,240,58,253,137,22,adult
6284,6284,8050430,GRL/aRYf,F,28/04/2016,22/10/2016,05/11/2016,1385,219,46,241,107,22.1,adult
6285,6285,8050410,LYfa/YLB,F,02/05/2016,31/12/2099,31/12/2099,1585,220,55,246,117,22.1,adult
6287,6287,8060484,W[L7]/aB[L7],M,03/05/2016,31/12/2099,31/12/2099,1725,265,48,247,142,21.9,adult
6288,6288,8060486,NfPP/aNR,M,12/05/2016,31/12/2099,31/12/2099,2040,257,48,270,149,22,adult
6289,6289,8060490,NfGN/aYN,F,15/05/2016,31/12/2099,31/12/2099,1540,233,48,251,127,21.9,adult
6291,6291,8047903,aB[K2]/W[K2],F,16/05/2016,31/12/2099,31/12/2099,1615,232,49,244,131,22.1,adult
6294,6294,8053719,GYa/GYfY,F,05/06/2016,31/12/2099,31/12/2099,1545,,,255,124,21.9,adult
6284,6284.2,8062006,aNY/NfGG,F,01/05/2017,31/12/2099,31/12/2099,1540,225,51,241,123.3,22.1,adult
6298,6298,8062010,B[Y6]/L[Y6]a,F,06/05/2017,31/12/2099,31/12/2099,1825,239,50,239,130,22.2,adult
6310,6310,8062007,B[DH]/aW[DH],M,30/05/2017,31/12/2099,31/12/2099,1990,264,50,,144.7,22,adult
6358,6358,8062100,GNfR/aRY,M,14/05/2018,31/12/2099,31/12/2099,1910,,,256,141,22.6,adult
