year,birdID,nestID,breeding_attempt,hatchday,hatchday2,successful,used,
2013,760,,1,140,,1,1,
2013,584,,1,175,,0,1,
2013,763,,1,131,177,0,1,
2013,656,,1,146,,1,1,
2013,647,,1,134,,1,1,
2013,651,,1,143,,1,1,
2014,760,,1,146,,1,1,
2014,763,,1,137,,1,1,
2014,651,,1,149,,1,0,
2014,656,,1,141,180,0,1,
2014,6117,,1,121,,1,1,
2014,6118,,1,165,,1,1,
2014,6066,,1,143,,1,1,
2014,6067,,1,180,,0,1,
2014,6068,,1,128,,1,1,
2015,763,,1,134,,1,1,
2015,651,,1,160,,1,0,
2015,6118,,1,162,,1,1,
2015,6066,,1,188,,0,1,
2015,6067,,1,159,,0,1,
2015,1606,,1,136,,1,1,
2015,1608,,1,136,,1,1,
2015,656,,1,144,,1,1,
2016,763,2647,1,137,177,1,1,
2016,6291,2647,1,177,,1,1,
2016,651,,1,140,,1,0,
2016,6118,1895,1,154,,1,1,
2016,6067,2646,1,163,,1,1,
2016,656,1934,1,153,,1,1,
2016,6283,,1,NA,,NA,0,
2016,6284,1912,1,160,,1,1,
2016,6285,1909,1,163,,1,1,
2016,6287,,1,165,,0,1,
2016,6288,1174,1,133,,1,1,
2016,6289,1174,1,133,,1,1,
2016,6294,,0,NA,,NA,0,
2017,6283,1575,1,125,,NA,0,
2017,6284.2,1806,1,162,,1,1,
2017,6288,1806,1,162,,1,1,
2017,6285,1620,1,139,,1,1,
2017,6287,1970,1,162,,1,1,
2017,6289,,1,153,,NA,0,
2017,6294,,1,137,,NA,0,
2017,6118,1818,1,174,,0,1,
2017,6066,1538,1,124,,1,1,
2017,6067,,0,NA,,NA,0,
2017,760,1838,1,183,,0,1,
2017,763,1838,1,183,,0,1,
2017,6291,,0,NA,,NA,0,
2017,6298,1487,1,127,,1,1,
2017,6310,,0,NA,,NA,0,
2017,1608,1979,1,168,,0,1,
2018,6283,,1,NA,,NA,0,
2018,6284.2,2134,1,146,,0,1,"vlak na uitvliegen is jong gestorven, dus toch aangemerkt als onsuccesvol"
2018,6288,2208,1,144,,1,,
2018,6289,2208,1,144,,1,1,
2018,6294,,1,NA,,NA,0,
2018,6118,2264,1,176,,1,1,
2018,6291,2247,1,153,,1,1,
2018,6298,2251,1,163,,0,1,
2018,6358,2172,1,137,,1,1,
2018,760,2191,1,142,,1,1,
2018,763,2191,1,142,,1,1,
2018,1608,2245,1,160,,1,1,
2019,760,2390,1,136,,1,1,
2019,763,2390,1,136,,1,1,
2019,1608,2302,1,148,,0,1,
2019,6285,2299,1,134,,1,1,
2019,6288,2313,1,136,,1,1,
2019,6289,2313,1,136,,1,1,
2019,6291,2396,1,137,,1,1,
2020,760,2596,1,134,,1,1,
2020,763,2596,1,134,,1,1,
2020,6285,2608,1,136,,1,1,
2020,6291,2611,1,135,,1,1,
2020,6298,2561,1,130,,1,1,
2021,6287,2753,1,163,,1,1,
2021,6299,2769,1,160,,1,1,
2021,6354,2856,1,189,,1,1,
